venue_code,title,start_date,end_date,summary,url,notes
met,Musical Bodies,2026-06-07,2026-09-27,"From clapping hands and tapping feet to beatboxing and whistling, the human body is a musical instrument. Musical instruments, in turn, often draw their form and decoration from our bodies. Around the world and across time, instruments emerge as powerful vehicles that represent our voices, actions, and identity not only in music but throughout the visual arts, literature, religion, pop culture, and mythology. Musical Bodies is the first major exhibition to explore the relationship between musical instruments and the body by bringing together some 130 instruments, paintings, sculptures, drawings, and more to illuminate how we express who we are, what we value, and what we believe. With works from The Met collection and institutions and collectors around the world, the exhibition explores 4,000 years of art and music history, from ancient Egyptian rattles and musical masterpieces by Titian and Degas to instrument-inspired apparel and one of Prince’s most notable guitars. Musical Bodies will resonate with visitors of all ages, whether you are a musician, a devoted listener, or simply curious about human expression. The exhibition is made possible by Barbara Tober, the Diane W. and James E. Burke Fund, the William Randolph Hearst Foundation, and the Gail and Parker Gilbert Fund. Additional support is provided by Anonymous, The Dancing Tides Foundation, the Vanguard Council, and The Augustine Foundation in memory of Rose Augustine.",https://www.metmuseum.org/exhibitions/musical-bodies,"Found on the venue's ""current/upcoming"" listing page. opening and closing date taken from the site's structured data, not its visible page."
met,Costume Art,2026-05-10,2027-01-10,"The Costume Institute’s spring 2026 exhibition explores depictions of the dressed body across The Met’s vast collection, pairing garments with artworks to reveal the inherent relationship between clothing and the body. Focusing primarily on Western art from prehistory to the present, Costume Art presents connections between garments from The Costume Institute and objects from the Museum’s other collecting areas. Pairings between fashions and artworks will present a spectrum of connections and experiences: from the formal to the conceptual, the aesthetic to the political, the individual to the universal, the illustrative to the symbolic, and the playful to the profound. These pairings are organized into a series of thematic body types that reflect their pervasiveness and endurance through time and cultures. Costume Art is the inaugural exhibition in the new, nearly 12,000-square-foot galleries adjacent to the Great Hall. This space will display The Costume Institute’s annual spring show and, at times, shows from the Museum’s other curatorial departments, including those that explore the intersection of fashion and art. To access a large-print version of the exhibition text, click here",https://www.metmuseum.org/exhibitions/costume-art,"Found on the venue's ""current/upcoming"" listing page. opening date taken from the site's structured data, not its visible page."
met,Orientalism: Between Fact and Fantasy,2026-06-12,2027-02-28,"The word Orient is derived from the Latin Oriens, which means the direction of the rising sun—the east. Orientalism: Between Fact and Fantasy explores notions of “the East” in the 19th century, when globalism, shaped by colonialism and imperialism, fueled unprecedented encounters, connections, and exchanges in Europe and the Middle East. “Hard power” mingled with “soft power,” as accelerated travel, rapid technological change, and shifting geopolitics hastened artistic exchange between distant regions and different cultures. Beginning with Napoleon’s conquest of Egypt in 1798 and culminating in the paintings of Ottoman renaissance man Osman Hamdi Bey, this exhibition tells the story of how Islamic works of art made their way to European dealers, collectors, international expositions, and museums, introducing a new visual language to artists, architects, and designers. Deep admiration for the sophisticated techniques and visual language of Islamic art led Owen Jones and other influential figures to transform architecture and design in Europe and America. Artists such as Jean Auguste Dominique Ingres, Eugène Delacroix, and Jean-Léon Gérôme visited lands and people across the Mediterranean or imagined them from afar. They sometimes depicted what they saw and at other times conjured distant places through memory and imagination, often using Islamic objects to stage their paintings. Orientalism: Between Fact and Fantasy is the first exhibition at The Met to explore Orientalism as its central focus, presenting not only easel paintings but also drawings, photographs, illustrated books, architecture, arms and armor, textiles, garments, glassware, ceramics, and metalwork. Highlighting The Met collection, it features approximately 180 objects from 12 Met departments along with rarely seen loans from the U.S. and abroad. Displayed across four galleries that straddle the departments of European Paintings and Islamic Art, the presentation invites visitors to approach the exhibit",https://www.metmuseum.org/exhibitions/orientalism-between-fact-and-fantasy,"Found on the venue's ""current/upcoming"" listing page. opening date taken from the site's structured data, not its visible page."
met,A King’s Carpet: Louis XIV and the Savonnerie,2026-09-08,2028-03-05,"In 1668, King Louis XIV of France commissioned the Paris-based Savonnerie manufactory to create the largest carpet ever woven. Composed of 92 individual pieces, the carpet was intended to cover the full span of the Grande Galerie of the Louvre, measuring 440 meters, six times the length of the Hall of Mirrors at Versailles. Not only was it a bold and unprecedented undertaking, but a unique chapter in the history of art. The first ever exhibition about the Savonnerie in the United States, A King’s Carpet sheds new light on The Met’s three carpets made as part of this ambitious scheme. Held in the iconic Wrightsman Galleries, it will explore the tumultuous history of these Baroque masterpieces from their conception and the harsh realities of their production to their dispersal after the French Revolution. A project of unheard-of scale, the weaving of the 92 carpets necessitated the establishment of massive workshops and an expendable workforce of orphans and adolescents with sharp eyesight and nimble fingers. Woven over 20 years, the carpets were never rolled out in the space for which they were intended, Louis XIV having turned his attention away from the Louvre to Versailles. During the Revolution, many were stripped of their royal emblems or sold, some eventually finding new homes with prominent American collectors such as J. P. Morgan and Alva Vanderbilt. This exhibition will present four complete carpets along with a selection of fragments, attesting to the scheme’s segmentation and dispersal. In addition, visitors will be able to observe textile conservators at work in an in-gallery temporary conservation studio as they repair and strengthen one of these monumental textiles.",https://www.metmuseum.org/exhibitions/a-kings-carpet-louis-xiv-and-the-savonnerie,"Found on the venue's ""current/upcoming"" listing page. opening date taken from the site's structured data, not its visible page."
met,"Futurism, Constructivism, and Dada in Georgia, 1917–1928",2026-08-13,2026-10-27,"This exhibition highlights modernist and avant-garde artist publications and collaborations created in the country of Georgia between 1917 and 1928. Under Russian rule from the early 19th century until the collapse of the Russian Empire in 1917, Georgia enjoyed a brief period as an independent, democratic republic from 1918 to 1921. During this time, the Georgian city of Tiflis (renamed Tbilisi in 1936) was a convening point for artists and writers from a wide range of backgrounds, nationalities, ethnicities, and artistic tendencies. Art and literary cafes flourished, providing supportive environments for avant-garde poetry recitations, lectures, performances, and exhibitions. This exhibition offers an introduction to the distinctive styles and movements that developed in Tiflis during this period and their manifestations in print, revealing a history of modernist art beyond Western Europe. Featured publications show references to Cubism, Futurism, Expressionism, Constructivism, and Dada, fused with elements of regional culture, folklore, and medieval art. The objects on display will be available for consultation in our Reading Room by appointment at the conclusion of the exhibition. For information about using the library and current library hours, please visit here.",https://www.metmuseum.org/exhibitions/futurism-constructivism-and-dada-in-georgia-1917-1928,"Found on the venue's ""current/upcoming"" listing page. opening and closing date taken from the site's structured data, not its visible page."
met,Independence and Identity: Selections from the Department of Drawings and Prints,2026-05-14,2026-09-29,"The Department of Drawings and Prints boasts more than one million drawings, prints, and illustrated books made in Europe and the Americas from around 1400 to the present day. Because of their number and sensitivity to light, the works can only be exhibited for a limited period. To highlight the vast range of works on paper, the department organizes four rotations a year in the Robert Wood Johnson, Jr. Gallery. Each installation is the product of a collaboration among curators and consists of up to 100 objects grouped by artist, technique, style, period, or subject. Independence and Identity brings together works that explore ideas and ideals of autonomy—creative, social, and political. A special section of the installation, for example, explores the visual culture of the American Revolution. Planned in connection with an exhibition on view in The Met’s American Wing through August 2, the selection of prints presented here focuses on the role of New York within the broader struggle for nationhood. Questions of artistic freedom come into play in a section dedicated to the stylistic and technical innovations of Edgar Degas, Mary Cassatt, Camille Pissarro, and other late nineteenth-century printmakers. Bold prints by WPA artist Joseph Vogel, meanwhile, attend to various definitions of autonomy through meditations on physical and conceptual experiences of vision and blindness, ability and disability. Elsewhere in the gallery, images of architectural icons, including Roy Liechtenstein’s spectacular Cathedral series, point to our enduring fascination with and complex relationship to age-old monuments—repositories for collective and individual histories and aspirations. Finally, works by artists ranging from Vincent van Gogh to Elizabeth Catlett reveal the persistence of rural labor as a pictorial subject, whether celebrating communion with the land, calling for sympathy and reform, or affirming urban viewers’ own social identities.",https://www.metmuseum.org/exhibitions/independence-and-identity-selections-from-the-department-of-drawings-and-prints,"Found on the venue's ""current/upcoming"" listing page. opening and closing date taken from the site's structured data, not its visible page."
met,Rediscovering Della Robbia at The Met,2026-08-10,2028-01-17,"Renaissance sculpture in Florence was forever changed around 1440 when Luca della Robbia created a secret formula for making glazed terracotta reliefs and statuary. Luca and his heirs, Andrea and Giovanni, daringly perfected these techniques. Over the next century, the family workshop transformed local clay and colored glazes into peerless sculptures that gleamed with light. Praised during the Renaissance as “almost eternal,” today Della Robbia sculptures are often as vibrantly luminous as when they emerged from the kiln five hundred years ago. The Met has the largest, most significant collection of Della Robbia glazed terracottas in America. Most have remained in storage for decades. For the first time, Rediscovering Della Robbia at The Met features in a single gallery 12 of the Museum’s masterworks by three generations of the Della Robbia family. Rescued from storage, revived through conservation, and reattributed through fresh research, these sculptures are shown with two important loans from a private collector. Another two works are exciting sculptures by Giovanni della Robbia from the Dick Wolf Collection that complement existing works in the Museum’s collection—one is a promised gift and the other, the Mystic Mandorla lunette, recently was gifted to the Museum. Together, the exhibited sculptures span monumental reliefs composed of many interlocking pieces to small statuettes, signaling the scope of the Della Robbias’ art. Collaboration within the Della Robbia workshop fostered innovation. Rediscovering Della Robbia at The Met itself results from a collaborative exchange among curators, conservators, and digital specialists. Highlights include the exhibition’s centerpiece featuring 33 newly conserved interlocking pieces of a 10-foot-tall altarpiece that has been off view for 70 years. These are shown alongside a large, animated virtual reconstruction that uses 3D-scanning technology to suggest how the entire altar originally was assembled. Rediscovering Della",https://www.metmuseum.org/exhibitions/rediscovering-della-robbia-at-the-met,"Found on the venue's ""current/upcoming"" listing page. opening date taken from the site's structured data, not its visible page."
met,Cottage Industry: The Val-Kill Furniture Shop,2026-07-18,2027-05-09,"Established in 1926 by first lady Eleanor Roosevelt and fellow activists Nancy Cook and her life partner, Marion Dickerman, along with Caroline O’Day, the furniture manufacturing venture known as Val-Kill Industries revived historical furniture traditions and drew crucial inspiration from The Met’s early American holdings. In honor of the 100th anniversary of Val-Kill's founding, Cottage Industry: The Val-Kill Furniture Shop celebrates this groundbreaking enterprise, which was led by women and shaped by immigrant and rural craftspeople. Featuring loans from the Eleanor Roosevelt National Historic Site as well as the Franklin D. Roosevelt Presidential Library and Museum, the exhibition offers a fresh perspective on the American Wing's historic collections while highlighting the enduring connections between craft, design, and social reform. Bringing together over 30 works, Cottage Industry features rare examples of Val-Kill furniture alongside conceptual designs and templates that illuminate the workshop's creative process and collaborative spirit. Highlights include finely crafted desks, tables, and chairs from Eleanor Roosevelt’s home in Hyde Park. In addition, the exhibition considers complementary Arts and Crafts furniture by Gustav Stickley and the Byrdcliffe Colony as well as reflects on Val-Kill's legacy through Depression-era prints, painting, and sculpture. Presented alongside historical furniture from The Met's American Wing, these works reveal how the Museum's collections inspired Val-Kill's designs while offering visitors a closer look at the artistry, craftsmanship, and progressive ideals that defined this pioneering workshop. The exhibition is made possible by the Richard Hampton Jenrette Americana Fund.",https://www.metmuseum.org/exhibitions/cottage-industry-the-val-kill-furniture-shop,"Found on the venue's ""current/upcoming"" listing page. opening date taken from the site's structured data, not its visible page."
met,City of Memory: Nanjing in the Seventeenth Century,2026-06-27,2027-01-03,"Throughout Chinese history, the city of Nanjing served as the capital of multiple dynasties. Each time a dynasty was overthrown, it left behind another layer of cultural memory, creating an atmosphere in which artists found themselves surrounded by the past. Material traces of history—temples, city walls, ancient trees—blended with less tangible remains, such as views that had inspired famous artists and poetic verses they had written. In 1644, the Ming dynasty was violently overthrown, and the Qing took its place. A new layer of reminiscence was added, sparking feelings of loss and nostalgia, as the people of Nanjing saw their world shattered and another dynasty—their own—consigned to the realm of history. City of Memory: Nanjing in the Seventeenth Century explores how artists lived and worked in this charged environment in the decades before and after the fall of the Ming dynasty. Through a selection of about 100 objects, mostly from The Met collection, the exhibition illuminates both the city’s lore and complex history as well as the evolution of Nanjing painting from the 1640s to the 1680s, introducing key figures, genres, and styles. Artworks donated to The Met by Julia and John Curtis have inspired and enriched this exhibition.",https://www.metmuseum.org/exhibitions/city-of-memory-nanjing-in-the-17th-century,"Found on the venue's ""current/upcoming"" listing page. opening date taken from the site's structured data, not its visible page."
met,P. S. Art 2026: Celebrating the Creative Spirit of New York City Kids,2026-06-09,2026-10-26,"P. S. Art is an annual celebration of the creativity, talent, and artistic achievement of New York City Public Schools students and their dedicated art teachers. This year marks the 24th anniversary of P. S. Art, and the 19th year this juried exhibition has been presented at The Metropolitan Museum of Art. The exhibition features 125 exceptional works selected from nearly 1,000 submissions by students in prekindergarten through grade 12. The works on view—including collages, drawings, mixed-media pieces, paintings, photographs, prints, and sculptures—represent student artists from all five boroughs of New York City, as well as District 75, the citywide district serving students with disabilities. Each artwork reflects meaningful student engagement and decision making, imaginative use of materials, careful observation, and a growing understanding of artistic processes. Together, these works illuminate the ideas, questions, and discoveries that shape students’ artistic journeys from early childhood through young adulthood. Dedicated and supportive art educators play an essential role in fostering student creativity and contributing to students’ social and emotional growth. Through encouragement and thoughtful instruction, art teachers challenge students to observe the world around them and express their understanding through artistic practice. As students continue their arts education year after year, they deepen their knowledge of artistic concepts, strengthen technical skills, and develop the imagination and confidence needed to communicate their unique perspectives. Sustained, high-quality arts education is vital to ensuring that all students have opportunities to grow and thrive creatively. New York City Public Schools and the NYCPS Arts Office gratefully acknowledge Studio in a School and The Met for their valued partnership. Special thanks to Studio in a School for its sponsorship and coordination of P. S. Art 2026. NYCPS and the Arts Office also extend sincere",https://www.metmuseum.org/exhibitions/p-s-art-2026-celebrating-the-creative-spirit-of-new-york-city-kids,"Found on the venue's ""current/upcoming"" listing page. opening and closing date taken from the site's structured data, not its visible page."
